KEGG Pathway	Hits	Score	Phytozome v5 Transcript IDs
Linoleic acid metabolism	1	0.40838	Cre12.g512300.t1.2
Natural killer cell mediated cytotoxicity	1	0.40838	Cre15.g641250.t1.2
Ribosome	3	0.41497	Cre06.g264350.t1.2, Cre01.g052100.t1.2, Cre02.g108850.t1.2
Propanoate metabolism	1	0.4288	Cre02.g145200.t1.3
Renal cell carcinoma	1	0.4288	Cre03.g177450.t1.3
Arginine and proline metabolism	2	0.45832	Cre16.g694850.t1.2, Cre04.g229350.t1.2
Pentose phosphate pathway	1	0.46757	Cre09.g394550.t1.2
Base excision repair	1	0.48597	Cre08.g377850.t1.2
Tight junction	1	0.48597	Cre03.g194100.t1.2
p53 signaling pathway	1	0.5124	Cre03.g169500.t1.2
Purine metabolism	5	0.51762	Cre01.g029750.t1.3, Cre10.g436500.t1.2, Cre12.g541300.t1.2, Cre03.g188550.t1.2, Cre09.g394550.t1.2
Proteasome	1	0.52091	Cre16.g665000.t1.2
Biosynthesis of plant hormones	3	0.52307	Cre12.g509650.t1.2, Cre12.g512300.t1.2, Cre09.g394550.t1.2
Glycine, serine and threonine metabolism	1	0.56896	Cre16.g658450.t1.2
Prostate cancer	1	0.5765	Cre03.g169500.t1.2
Pathways in cancer	2	0.5771	Cre03.g169500.t1.2, Cre03.g177450.t1.3
Amino sugar and nucleotide sugar metabolism	1	0.59117	Cre16.g696000.t1.2
Long-term potentiation	1	0.59832	Cre15.g641250.t1.2
Histidine metabolism	1	0.60535	Cre13.g576650.t1.2
Biosynthesis of alkaloids derived from histidine and purine	2	0.6061	Cre10.g436500.t1.2, Cre09.g394550.t1.2
Aminoacyl-tRNA biosynthesis	1	0.62571	Cre02.g073550.t1.2
Calcium signaling pathway	1	0.65736	Cre15.g641250.t1.2
Nucleotide excision repair	1	0.66927	Cre02.g089608.t1.2
Neurotrophin signaling pathway	1	0.67507	Cre12.g517600.t1.2
Lysosome	1	0.69187	Cre09.g396950.t1.3
Peroxisome	1	0.71295	Cre02.g145200.t1.3
Endocytosis	1	0.72295	Cre08.g362550.t1.2
Oocyte meiosis	2	0.7889	Cre15.g641250.t1.2, Cre03.g169500.t1.2
Progesterone-mediated oocyte maturation	1	0.82551	Cre03.g169500.t1.2
Alzheimer's disease	1	0.8286	Cre15.g641250.t1.2
Pyrimidine metabolism	1	0.84324	Cre10.g436500.t1.2
Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid	1	0.86167	Cre16.g694850.t1.2
Cell cycle	1	0.8689	Cre03.g169500.t1.2
Biosynthesis of terpenoids and steroids	1	0.87576	Cre12.g509650.t1.2
Ubiquitin mediated proteolysis	1	0.88436	Cre03.g177450.t1.3
Huntington's disease	1	0.89983	Cre12.g555950.t1.2
Systemic lupus erythematosus	1	0.90844	Cre02.g106250.t1.2
